"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-01","33","40","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-02","39","45","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-03","36","47","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-04","47","55","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-05","43","51","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-06","22","23","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-07","22","25","10"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-08","14","22","8"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-09","26","34","21"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-10","22","24","18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-11","26","38","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-12","36","40","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-13","32","37","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-14","24","33","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-15","31","35","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-16","34","45","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-17","23","32","18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-18","36","47","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-19","40","45","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-20","39","41","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-21","32","38","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-22","35","41","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-23","33","39","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-24","35","40","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-25","39","45","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-26","28","32","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-27","25","27","20"
